"filename", "language", "HTTP", "JavaScript", "Pug", "JSON", "Markdown", "CSS", "comment", "blank", "total"
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\app.js", "JavaScript", 0, 137, 0, 0, 0, 0, 11, 22, 170
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\app.test.js", "JavaScript", 0, 23, 0, 0, 0, 0, 16, 5, 44
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\administrativeController.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 4, 49
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\agenciesController.js", "JavaScript", 0, 312, 0, 0, 0, 0, 0, 61, 373
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\authorizationController.js", "JavaScript", 0, 229, 0, 0, 0, 0, 0, 34, 263
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\businessController.js", "JavaScript", 0, 659, 0, 0, 0, 0, 0, 127, 786
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\containersController.js", "JavaScript", 0, 115, 0, 0, 0, 0, 18, 25, 158
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\ordersController.js", "JavaScript", 0, 414, 0, 0, 0, 0, 0, 72, 486
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\otpController.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 9, 62
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\partnerStaffControllers.js", "JavaScript", 0, 829, 0, 0, 0, 0, 0, 168, 997
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\shipmentsController.js", "JavaScript", 0, 641, 0, 0, 0, 0, 0, 100, 741
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\shippersController.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 15, 103
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\staffsController.js", "JavaScript", 0, 592, 0, 0, 0, 0, 0, 113, 705
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\todoController.js", "JavaScript", 0, 247, 0, 0, 0, 0, 1, 32, 280
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\transportPartnerController.js", "JavaScript", 0, 369, 0, 0, 0, 0, 0, 78, 447
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\usersController.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 33, 217
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\utils.js", "JavaScript", 0, 668, 0, 0, 0, 0, 2, 111, 781
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\controllers\vehicleController.js", "JavaScript", 0, 388, 0, 0, 0, 0, 0, 78, 466
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\AdministrativeUnit.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 4, 60
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Agencies.js", "JavaScript", 0, 292, 0, 0, 0, 0, 0, 76, 368
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Authorization.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 8, 41
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Business.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 43, 190
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Containers.js", "JavaScript", 0, 96, 0, 0, 0, 0, 2, 19, 117
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\OTP.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 11, 52
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Orders.js", "JavaScript", 0, 269, 0, 0, 0, 0, 5, 45, 319
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\PartnerStaffs.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 27, 129
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Shipments.js", "JavaScript", 0, 460, 0, 0, 0, 0, 5, 93, 558
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Shippers.js", "JavaScript", 0, 137, 0, 0, 0, 0, 3, 35, 175
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Staffs.js", "JavaScript", 0, 180, 0, 0, 0, 0, 0, 32, 212
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\TodoList.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 27, 136
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\TransportPartner.js", "JavaScript", 0, 66, 0, 0, 0, 0, 10, 22, 98
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Users.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 15, 61
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\Vehicles.js", "JavaScript", 0, 211, 0, 0, 0, 0, 2, 48, 261
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\database\utils.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 27, 197
"d:\TDLogistics\tdlogistics_real_time\tdlogistics_real_time\lib\area.json", "JSON", 0, 0, 0, 140, 0, 0, 0, 9, 149
